102,169,51,85,1.815,0.144532879
99,0.378,0.232717496
91,0.186,0.098765659
51,0.13,0.01444063
90,0.322,0.18638235
96,0.21,0.109118761
63,0.236,0.043998866
53,0.113,0.021600858
78,0.156,0.058161947
81,0.28,0.081588893
91,0.24,0.185243505
81,0.274,0.10632489
56,0.138,0.019467714
54,0.084,0.009075696
62,0.139,0.016513474
72,0.388,0.027419961
78,0.52,0.163384343
86,0.304,0.348999907
74,0.638,0.216999889
80,0.44,0.271215006
61,0.159,0.030691523
63,0.34,0.041240063
61,0.106,0.030361373
58,0.065,0.031784609
94,0.191,0.205812004
70,0.12,0.0897926
65,0.117,0.083277275
97,0.283,0.121723895
79,0.154,0.062273423
99,0.236,0.129117196
84,0.254,0.098669864
57,0.086,0.021090666
68,0.148,0.048011126
99,0.345,0.084351117
78,0.15,0.038146833
60,0.144,0.014560373
55,0.118,0.01330606
70,0.525,0.179690831
57,0.351,0.100466443
92,0.714,0.501284462
92,1.346,0.273290417
65,0.817,0.250739736
84,2.361,0.509979118
79,1.23,0.478319812
64,0.159,0.056417542
61,0.22,0.053097655
56,0.16,0.020541984
75,1.264,0.070989889
65,1.333,0.052539993
62,0.136,0.074855891
67,0.191,0.078674423
55,0.11,0.032914473
98,0.272,0.286890703
96,0.243,0.195707369
51,0.158,0.032674987
80,0.208,0.188258473
54,0.1,0.07542681
53,0.104,0.018062868
99,0.15,0.32372207
56,0.121,0.021653033
69,0.28,0.064072568
96,0.343,0.235131608
60,2.206,0.018688955
72,2.541,0.058452753
65,0.567,0.21675698
76,0.731,0.359491142
91,0.826,0.903928996
51,0.242,0.019541699
66,0.164,0.090597447
81,0.325,0.243489699
77,1.54,0.123994744
95,2.334,0.299662623
96,0.746,0.783783148
76,0.149,0.470404344
86,0.185,0.647768303
55,0.196,0.05366943
95,0.464,0.230769955
73,2.781,0.126987901
92,3.199,0.097120897
99,1.189,0.753551783
73,1.144,0.286402749
73,1.901,0.237503384
75,0.538,0.392986371
73,2.183,0.088283833
86,0.754,0.555639424
87,1.193,0.597901155
